Machine Break : Load at Machine Break,40340,N
,,
Time,Extension,Load
(sec),(mm),(N)
93.6,15.5965,58925.42005
93.7,15.6133,58925.42005
93.8,15.63,58925.42005
93.9,15.6465,58925.42005
94,15.6633,58925.42005
94.1,15.6798,58925.42005
94.2,15.6965,58925.42005
94.3,15.7132,58925.42005
94.4,15.73,58925.42005
94.5,15.7462,58925.42005
94.6,15.763,58925.42005
94.7,15.7797,58898.56815
94.8,15.7965,58925.42005
94.9,15.8132,58898.56815
95,15.83,58898.56815
95.1,15.8467,58898.56815
95.2,15.863,58898.56815
95.3,15.8797,58898.56815
95.4,15.8964,58898.56815
95.5,15.9132,58898.56815
95.6,15.9299,58898.56815
95.7,15.9467,58898.56815
95.8,15.9629,58898.56815
95.9,15.9797,58871.72222
96,15.9964,58871.72222
96.1,16.0131,58871.72222
96.2,16.0299,58871.72222
