Machine Break : Load at Machine Break,5992,N
,,
Time,Extension,Load
(sec),(mm),(N)
81.2,13.5278,16713.88
81.3,13.5445,16697.77036
81.4,13.5613,16692.39998
81.5,13.5778,16681.66071
81.6,13.5945,16670.91995
81.7,13.6113,16665.54958
81.8,13.6278,16654.82074
81.9,13.6445,16649.45036
82,13.6612,16633.34072
82.1,13.6777,16627.97034
82.2,13.6945,16617.22958
82.3,13.7112,16606.49031
82.4,13.7277,16595.75999
82.5,13.7445,16585.02072
82.6,13.7612,16574.27996
82.7,13.778,16563.5407
82.8,13.7945,16552.79994
82.9,13.8112,16547.42956
83,13.8279,16536.70073
83.1,13.8444,16520.58959
83.2,13.8612,16509.85032
83.3,13.8779,16499.10957
83.4,13.8944,16488.3703
83.5,13.9112,16477.63997
83.6,13.9279,16466.90071
83.7,13.9444,16456.15995
83.8,13.9612,16440.0503
83.9,13.9779,16434.67993
84,13.9946,16418.58071
84.1,14.0111,16407.83995
84.2,14.0279,16397.10069
84.3,14.0446,16380.98955
84.4,14.0611,16370.26072
84.5,14.0779,16359.51996
84.6,14.0946,16348.78069
84.7,14.1111,16338.03993
84.8,14.1278,16327.30067
84.9,14.1446,16311.19996
85,14.1611,16300.4607
85.1,14.1778,16284.34956
85.2,14.1946,16273.61029
85.3,14.2113,16257.50959
85.4,14.2278,16246.77032
85.5,14.2446,16236.02957
85.6,14.2613,16219.91992
85.7,14.2778,16209.18065
85.8,14.2945,16198.45033
85.9,14.3113,16182.34068
86,14.3278,16166.22955
86.1,14.3445,16155.49028
86.2,14.3613,16139.38957
86.3,14.3778,16128.65031
86.4,14.3945,16112.54066
86.5,14.4113,16101.79991
86.6,14.4278,16085.70069
86.7,14.4445,16074.95993
86.8,14.4612,16058.85029
86.9,14.478,16042.74064
87,14.4945,16026.63994
87.1,14.5112,16015.90067
87.2,14.528,15999.78954
87.3,14.5445,15983.67989
87.4,14.5612,15967.58068
87.5,14.5779,15956.83992
87.6,14.5944,15940.73027
87.7,14.6112,15924.62063
87.8,14.6279,15913.8903
87.9,14.6444,15897.78066
88,14.6612,15881.66952
88.1,14.6779,15865.55988
88.2,14.6947,15849.46066
88.3,14.7112,15833.34953
88.4,14.7279,15817.23988
88.5,14.7446,15801.14067
88.6,14.7611,15785.02953
88.9,14.8111,15736.70954
89,14.8279,15720.59989
89.1,14.8446,15704.49024
89.2,14.8611,15688.3806
89.3,14.8779,15672.27989
89.4,14.8946,15656.17025
89.5,14.9111,15640.0606
89.6,14.9278,15618.58952
89.7,14.9446,15602.47988
89.8,14.9613,15586.37023
89.9,14.9778,15570.26953
90,14.9946,15548.7895
90.1,15.0113,15532.67986
90.2,15.0278,15516.57021
90.3,15.0445,15495.10062
90.4,15.0613,15478.98948
90.5,15.0778,15462.87984
90.6,15.0945,15446.78062
90.7,15.1113,15430.66949
90.8,15.1278,15409.18946
90.9,15.1445,15393.09025
91,15.1613,15371.61022
91.1,15.178,15355.50058
91.2,15.1945,15334.0295
91.3,15.2112,15317.91985
91.4,15.228,15296.43983
91.5,15.2445,15280.34061
91.6,15.2612,15258.86059
91.7,15.278,15242.74945
91.8,15.2945,15221.27986
91.9,15.3112,15205.17021
92,15.328,15183.69019
92.1,15.3445,15167.58949
92.2,15.3612,15146.10946
92.3,15.3779,15124.62944
92.4,15.3944,15103.15984
92.5,15.4112,15081.67982
92.6,15.4279,15065.57018
92.7,15.4447,15044.10058
92.8,15.4612,15027.98945
92.9,15.4779,15006.50942
93,15.4946,14985.03983
93.1,15.5112,14968.93018
93.2,15.5279,14942.09021
93.3,15.5446,14925.98057
93.4,15.5611,14904.50054
93.5,15.5779,14883.02946
93.6,15.5946,14861.54944
93.7,15.6111,14840.06941
93.8,15.6279,14818.59982
93.9,15.6446,14797.1198
94,15.6613,14775.63977
94.1,15.6778,14754.17018
94.2,15.6946,14732.69016
94.3,15.7113,14711.22056
94.4,15.7276,14689.74054
94.5,15.7443,14668.26051
94.6,15.7611,14646.78943
94.7,15.7778,14625.30941
94.8,15.7946,14603.82938
94.9,15.8113,14582.35979
95,15.8276,14555.50939
95.1,15.8443,14534.0398
95.2,15.861,14507.18939
95.3,15.8778,14491.07975
95.4,15.8945,14464.23978
95.5,15.9113,14442.75975
95.6,15.928,14415.91978
95.7,15.9443,14394.43976
95.8,15.961,14372.97016
95.9,15.9778,14351.49014
96,15.9945,14324.63974
96.1,16.0112,14303.17014
96.2,16.028,14276.31974
96.3,16.0442,14254.85015
